nc6_threshold,nc10_threshold,uni6_threshold,uni10_threshold,accuracy
9,16,0.35,0.45,0.3945005611672278
9,16,0.35,0.5,0.3945005611672278
9,16,0.35,0.55,0.3945005611672278
9,16,0.35,0.6,0.3945005611672278
9,16,0.45,0.4,0.3945005611672278
9,16,0.4,0.6,0.3945005611672278
9,16,0.4,0.55,0.3945005611672278
9,18,0.3,0.4,0.39337822671156003
9,18,0.3,0.5,0.39337822671156003
9,18,0.3,0.45,0.39337822671156003
9,18,0.3,0.55,0.39337822671156003
9,18,0.35,0.5,0.39337822671156003
9,18,0.35,0.55,0.39337822671156003
9,18,0.35,0.6,0.39337822671156003
9,18,0.4,0.4,0.39337822671156003
9,18,0.4,0.45,0.39337822671156003
9,18,0.4,0.5,0.39337822671156003
9,18,0.4,0.55,0.39337822671156003
9,18,0.4,0.6,0.39337822671156003
9,18,0.5,0.6,0.39337822671156003
9,18,0.5,0.4,0.39337822671156003
9,18,0.5,0.45,0.39337822671156003
9,18,0.5,0.5,0.39337822671156003
9,18,0.5,0.55,0.39337822671156003
9,18,0.3,0.6,0.39337822671156003
9,18,0.35,0.4,0.39337822671156003
9,18,0.35,0.45,0.39337822671156003
9,18,0.45,0.4,0.39337822671156003
9,18,0.45,0.45,0.39337822671156003
9,18,0.45,0.5,0.39337822671156003
9,18,0.45,0.55,0.39337822671156003
9,18,0.45,0.6,0.39337822671156003
9,20,0.35,0.6,0.39169472502805835
9,20,0.35,0.55,0.39169472502805835
9,20,0.4,0.4,0.39169472502805835
9,20,0.35,0.5,0.39169472502805835
9,20,0.35,0.45,0.39169472502805835
9,20,0.35,0.4,0.39169472502805835
9,20,0.3,0.6,0.39169472502805835
9,20,0.3,0.55,0.39169472502805835
9,20,0.5,0.55,0.39169472502805835
9,20,0.5,0.6,0.39169472502805835
9,20,0.5,0.45,0.39169472502805835
9,20,0.5,0.5,0.39169472502805835
9,20,0.5,0.4,0.39169472502805835
9,20,0.45,0.6,0.39169472502805835
9,20,0.45,0.5,0.39169472502805835
9,20,0.45,0.55,0.39169472502805835
9,20,0.4,0.6,0.39169472502805835
9,20,0.4,0.55,0.39169472502805835
9,20,0.45,0.45,0.39169472502805835
9,20,0.45,0.4,0.39169472502805835
9,20,0.4,0.5,0.39169472502805835
9,20,0.4,0.45,0.39169472502805835
9,20,0.3,0.5,0.39169472502805835
9,20,0.3,0.45,0.39169472502805835
9,20,0.3,0.4,0.39169472502805835
9,22,0.45,0.5,0.38552188552188554
9,22,0.45,0.4,0.38552188552188554
9,22,0.4,0.6,0.38552188552188554
9,22,0.4,0.55,0.38552188552188554
9,22,0.45,0.45,0.38552188552188554
9,22,0.4,0.45,0.38552188552188554
9,22,0.4,0.4,0.38552188552188554
9,22,0.35,0.6,0.38552188552188554
